CT_pre_mean,time_train,time_explain,correct_number,number_explain,self_efficacy,difficulty,group
.25,1670.236,93.154,1,3,6,10,High
.75,1197.809,194.598,1,4,3,8,High
1,2770.061,24.495,1,3,2,0,High
1,945.756,113.167,2,4,10,8,High
1,1086.499,0,1,0,1,8,High
1,1470.074,27.464,1,3,0,1,High
.75,2457.447,35.857,3,2,2,8,High
.5,820.033,53.817,1,3,0,8,High
.25,2868.909,44.199,0,1,0,10,High
.5,762.244,31.942,0,3,1,10,Low
.75,319.508,8.106,1,3,1,8,Low
.5,2232.259,0,4,0,10,9,High
.5,2433.834,39.189,2,2,6,7,High
.5,1338.627,14.381,1,1,1,1,High
.75,2855.856,57.807,3,1,9,7,High
1,1052.233,59.079,1,3,1,10,High
.75,2837.402,211.437,1,4,2,7,High
.75,2992.753,79.547,4,2,9,7,High
1,2316.203,37.624,2,2,6,9,High
.25,173.289,0,0,0,0,0,High
.5,928.736,22.679,0,1,0,0,High
.75,769.625,54.681,0,4,0,2,High
.5,850.236,46.417,1,2,4,8,High
.5,2407.011,47.644,1,2,4,8,High
.5,985.684,69.674,1,3,4,7,High
.5,490.562,15.8,0,2,0,10,High
1,682.153,14.059,2,1,6,4,High
.5,872.385,82.157,2,3,4,8,High
.75,474.759,0,0,0,0,5,High
.25,451.295,16.613,0,2,0,10,High
1,1319.444,86.98,3,2,8,7,High
.75,1055.346,82.479,0,4,0,2,High
.75,498.44,21.282,0,4,0,10,High
.25,574.613,6.189,0,1,0,0,High
.5,766.123,4.513,0,1,0,10,High
1,1262.991,113.414,0,4,0,8,High
0,1028.642,84.713,1,3,2,9,High
.25,791.586,36.652,0,4,5,1,High
1,6678.326,37.918,1,4,2,8,High
.5,1042.42,85.471,1,4,4,8,High
.75,967.215,0,2,0,3,8,High
.25,953.926,121.121,0,4,1,1,Low
.25,41.272,10.109,1,4,0,10,Low
1,1671.624,67.67,3,1,5,8,High
.5,1148.025,23.528,0,2,0,2,High
.5,1006.265,176.972,0,3,0,10,High
.25,2771.63,21.882,3,1,7,8,High
.75,686.476,41.252,2,2,7,6,High
.75,763.807,19.892,2,1,5,6,High
.75,3687.51,64.561,2,3,3,9,High
.75,701.611,33.467,0,2,0,0,High
1,1622.046,30.453,4,4,10,2,High
1,1381.213,16.339,3,1,8,6,High
.75,1553.714,132.514,2,4,6,8,High
.5,680.126,34.762,1,3,1,8,Low
.5,494.464,31.567,1,3,0,10,Low
.75,2765.784,118.496,2,3,6,5,High
1,803.158,133.335,0,4,0,9,High
.75,1647.816,36.737,2,4,5,8,High
.25,548.461,42.713,1,3,4,2,High
.75,1220.175,0,4,0,10,7,High
.75,725.512,70.143,0,3,0,5,Low
1,1617.08,20.419,3,2,7,5,High
.25,1412.672,22.491,0,2,5,3,Low
.75,598.582,73.027,1,3,2,9,High
.5,593.046,34.107,0,3,1,1,High
.25,728.441,34.354,1,3,5,10,Low
.75,652.105,13.014,2,2,3,6,High
1,1098.191,41.83,1,4,4,8,High
.25,225.841,0,0,0,4,8,Low
1,1416.12,4.671,2,1,3,8,High
.25,248.729,0,1,0,0,10,Low
.5,320.709,39.985,0,4,0,7,High
.5,2726.361,71.397,0,3,2,1,High
1,1026.526,24.035,0,2,0,8,High
1,2349.664,12.852,3,1,9,8,High
.25,191.158,0,1,0,3,10,Low
.5,891.857,83.682,1,1,3,7,High
.5,1710.044,36.972,2,2,8,3,High
.75,667.616,75.08,0,4,1,7,High
.75,2413.291,0,0,0,0,0,High
.5,1298.743,114.19,0,4,0,0,High
.5,2404.818,81.244,2,4,8,9,High
.75,2702.469,33.022,3,1,8,9,High
.25,1188.505,0,0,0,0,10,Low
.5,2157.156,45.6,1,3,5,7,High
.5,917.99,49.031,0,3,0,10,High
.75,934.862,19.537,3,3,9,7,High
.5,366.746,53.06,0,4,1,9,Low
.5,1315.168,60.31,2,4,1,0,High
.5,659.687,0,3,0,7,9,Low
.5,931.637,75.638,1,3,0,2,High
.25,880.746,34.996,0,4,3,1,High
