problem_mean,amb_pre_mean,CT_pre_mean,PS_pre_mean,answer_score.y,problem_post_mean,amb_post_mean,CT_post_mean,PS_post_mean,group,per_time,item,per_time_scale,item_sclae,per_score,rest,time_train,time_explain,correct_number,number_explain,self_efficacy,difficulty
4.57142857142857,3.42857142857143,.25,0,0,4.14285714285714,3.42857142857143,.75,0,High,346.86,8,.132051369585687,1,1.13205136958569,2.614,1670.236,93.154,1,3,6,10
4,2.42857142857143,.75,0,0,3.85714285714286,3,.75,0,High,785.952,8,.306352603808577,1,1.30635260380858,4.003,1197.809,194.598,1,4,3,8
3.57142857142857,1.71428571428571,1,0,0,3.42857142857143,3.57142857142857,.75,0,High,1466.256,8,.576404954675296,1,1.5764049546753,3.204,2770.061,24.495,1,3,2,0
4.42857142857143,4.71428571428571,1,1,1,3.57142857142857,4.14285714285714,1,1,High,604.993,8,.234519418408388,1,1.23451941840839,3.919,945.756,113.167,2,4,10,8
4.28571428571429,2.28571428571429,1,1,0,4.57142857142857,3.71428571428571,.5,.5,High,598.894,1,.232098369453896,0,.232098369453896,2.583,1086.499,0,1,0,1,8
4.71428571428571,4.14285714285714,1,0,0,4.71428571428571,3.71428571428571,1,0,High,1053.426,8,.41252864054469,1,1.41252864054469,3.771,1470.074,27.464,1,3,0,1
4.42857142857143,2,.75,1,1,3.57142857142857,2.57142857142857,.5,1,High,157.538,1,.0568984215348315,0,.0568984215348315,2.855,2457.447,35.857,3,2,2,8
4.57142857142857,4,.5,0,1,4.57142857142857,3.85714285714286,.75,1,High,401.584,8,.153774518132263,1,1.15377451813226,2.998,820.033,53.817,1,3,0,8
3.85714285714286,3,.25,.5,1,4.14285714285714,2.42857142857143,.5,.5,High,41.703,8,.0109167514834333,1,1.01091675148343,1.672,2868.909,44.199,0,1,0,10
3.57142857142857,3.42857142857143,.5,0,0,3.57142857142857,3.42857142857143,.25,0,Low,757.443,8,.295035718312006,1,1.29503571831201,2.927,762.244,31.942,0,3,1,10
3,3.57142857142857,.75,0,0,2.85714285714286,3.14285714285714,0,0,Low,132.806,8,.0470808477124878,1,1.04708084771249,2.981,319.508,8.106,1,3,1,8
2.85714285714286,3.57142857142857,.5,.5,1,2.28571428571429,3.71428571428571,.5,1,High,640.385,8,.248568568203001,1,1.248568568203,7.965,2232.259,0,4,0,10,9
4.28571428571429,3.85714285714286,.5,1,1,4,3.85714285714286,.5,1,High,472.266,3,.181832327970161,.285714285714286,.467546613684447,5.008,2433.834,39.189,2,2,6,7
3.71428571428571,3.42857142857143,.5,0,0,4,3.57142857142857,.75,0,High,299.752,8,.113351455805039,1,1.11335145580504,3.557,1338.627,14.381,1,1,1,1
4,3.57142857142857,.75,1,1,4.42857142857143,4.14285714285714,.5,1,High,2533.358,8,1,1,2,1.46,2855.856,57.807,3,1,9,7
4.14285714285714,2,1,1,1,3.85714285714286,3.28571428571429,.5,1,High,389.415,8,.148943932015326,1,1.14894393201533,2.558,1052.233,59.079,1,3,1,10
4.14285714285714,3.14285714285714,.75,1,1,3.57142857142857,3.28571428571429,1,.5,High,1292.827,8,.507560865623248,1,1.50756086562325,2.743,2837.402,211.437,1,4,2,7
